deck,commander,power,played,won,draw,lost,type,W,U,B,R,G,identity,artist,plane,moxfield,themes,location
Dinosaur Nursery,Gavi,mid,1,0,0,1,LGS,TRUE,TRUE,FALSE,TRUE,FALSE,Jeskai,Randy Vargas,Ikoria,iJ4f30_yxEO95EkQKKXGfA,dinosaurs&cycling&mill,Brighton
Through Time and Space,Susan & The Twelfth Doctor,mid,1,1,0,0,LGS,FALSE,TRUE,FALSE,TRUE,TRUE,Temur,Wangjie Li&Alexander Mokhov,Tardis&Tardis,0iS2kHFlREi6cDDqTKWtzA,planeschase&voting&demonstrate&copy&cascade,Brighton
In The Blink Of Time,Abuelo,mid,1,0,0,1,LGS,TRUE,TRUE,FALSE,FALSE,FALSE,Azorius,Victor Adame Minguez,Ixalan,EljY3Na7l0WaPysXIttfNA,blink,Ennepetal
What About Second Breakfast?,Merry&Pippin,mid,2,0,1,1,LGS,TRUE,FALSE,TRUE,FALSE,TRUE,Abzan,Viko Menezes&Viko Menezes,middle Earth&middle Earth,xPAFdVjyAUuINvbkNLyHVg,food&elephants&stickers,Ennepetal
Pompeii,Gallia,high,10,1,2,7,LGS,FALSE,TRUE,FALSE,TRUE,TRUE,Gruul,Johannes Voss,Theros,HuLxRxvIu0WlLzUwmdk46g,discard&reanimator,Brighton
Symbiosis,Abomination of Llanowar,mid,13,8,0,5,LGS,FALSE,FALSE,TRUE,FALSE,TRUE,Golgari,Vincent Proce,Dominaria,n5_lUaLKukO3Ws6D2c3tvA,elves,Brighton
A Shrine to Gallifrey,Peri Brown & The Fourteenth Doctor,mid,3,0,2,1,LGS,TRUE,TRUE,FALSE,TRUE,TRUE,Altruism,Justyna Dura&Wangjie Li,Tardis&Tardis,s0waMyW5ukyNVx8EPgAv4g,doctors&arcane&shrines,Brighton
The Weatherlight is Under Construction,Jhoira,high,9,0,1,8,Unfinished,FALSE,TRUE,FALSE,TRUE,FALSE,Izzet,Lisa Heidhoff,Dominaria,jLFKB8hsVEalMDUZzieFDQ,artifacts&attractions,Brighton
Siege,Piru,mid,0,0,0,0,Unfinished,TRUE,FALSE,TRUE,TRUE,FALSE,Mardu,Greg Staples,Dominaria,-nCX0TSSQUSQcv-6gntvdA,big butts&stuffy doll&poison,Ennepetal
Sign Here,Rubinia,mid,0,0,0,0,Unfinished,TRUE,TRUE,FALSE,FALSE,TRUE,Bant,Cynthia Sheppard,Unknown,tVS6EoKpSEaJIEAPGDy0FA,plot&theft&etb,Ennepetal
CpG Dinucleotides,Otrimi,mid,9,1,1,7,LGS,FALSE,TRUE,TRUE,FALSE,TRUE,Sultai,Victor Adame Minguez,Ikoria,huEOD7HpdU2by-g5oy0cAw,mutate&copy,Brighton
