deck,commander,power,played,won,draw,lost,type,W,U,B,R,G,identity,artist,plane,moxfield,themes,location
La forme d'une vie,Primo,mid,0,0,0,0,LGS,F,T,F,F,T,Simic,Aldo Domínguez,Arcavios,cbB76LO_hUuuN_DRhSt-0w,counters&tokens&maths,Brighton
Pest Garden,Dina,mid,0,0,0,0,Unfinished,F,F,T,F,T,Golgari,Pauline Voss,Arcavios,gbHDnoq0ukuzR1RP-4in-g,counters,Brighton
Blot out the Sky,Felisa,mid,0,0,0,0,Unfinished,T,F,T,F,F,Orzhov,Sara Winters,Arcavios,b0rClpplwUmO9l-Zh8rmwA,counters,Brighton
Mother's Day,Brass,mid,0,0,0,0,LGS,F,T,T,T,F,Grixis,Jason Rainville,Ixalan,RZnFGVWCLUOvXgzgYLkulA,pirates,Brighton 
Gal Pals,Firja,mid,0,0,0,0,LGS,T,F,T,F,F,Orzhov,Livia Prima,Kaldheim,SMp3S6Bnkket0Umwmp-Ivw,pride&enchantress,Brighton
LEGO,Gimbal,mid,0,0,0,0,Unfinished,F,T,F,T,T,Temur,Fajareka Setiawan,Aviskhar,GHj6LbZM4EeaB_15jZzbmQ,artifacts&tokens,Brighton
Lucky Luke,Felix,mid,0,0,0,0,Unfinished,F,T,T,F,T,Sultai,Chris Rahn,Thunder Junction,7mSk7lKC_0q_JQ3a9Iwijg,combat,Ennepetal
Quest for Creation,Omnath,mid,0,0,0,0,Unfinished,T,T,F,T,T,Altruism,Uta Natsume,Zendikar,hYAGI9mdqkmt1erS9qG4uQ,quests,Ennepetal
Save The Children,Miku,mid,0,0,0,0,Unfinished,T,T,T,T,T,WUBRG,Aya Kato,Earth,KFv9ka27l0O8tFxNy_s4vA,indestructible,Ennepetal
Underwater Consultation,Tevesh&Thrasios,high,0,0,0,0,Unfinished,F,T,T,F,T,Sultai,Mark Riddick&Josu Hernaiz,Dominaria&Teros,uuUcoOoAKEyMgVbWDrI_bg,merfolk,Ennepetal
Graveyards of Nyx,Narci,mid,0,0,0,0,Unfinished,T,F,T,F,T,Abzan,Miranda Meeks,Theros,1mbU9aAUqk-wnXZZPHOplQ,sagas,Brighton
Cabaretti Customer Service,Rocco,mid,0,0,0,0,Unfinished,T,F,F,T,T,Naya,Bram Sels,New Capenna,7zOiQKqus0Opd9ULrODqVg,counters&food&impulse,Brighton
Walkies,Kroxa and Kunoros,high,0,0,0,0,proxied,T,F,T,T,F,Mardu,Jason A. Engle&Jason A. Engle,Theros&Theros,1zEtP2bdNUmeZXs84zx-Ww,graveyard&combat&combo,Brighton
Ravnica Demolition,Borborygmos and Fblthp,high,0,0,0,0,proxied,F,T,F,T,T,Temur, Justin Hernandez&Alexis Hernandez,Ravnica&Ravnica,oGeS-k4QHEudRYoUkA5ZuA,draw&discard,Brighton
